grant_id,grant_name,funder,funder_type,program_id,mission_area,status,restricted,amount,renewal_probability_pct,probability_basis,start_date,end_date,deadline,match_requirement,source,url,date_verified,confidence,value_class,note
G-HIST-1,2024 Santa Clara County Jewish Community Study,"Chai House, Inc.",Foundation,,Community Research,CURRENT,RESTRICTED,,,,,,,,Owner-provided build prompt 2026-09-05 citing JSV public reporting,RESEARCH REQUIRED,,MEDIUM,PUBLIC_RESEARCH,AMOUNT NOT PUBLICLY CONFIRMED - funded the community study commissioned by JSV
G-SYN-1,Youth program operating grant,SYNTHETIC Funder A,Foundation,P2,Youth,CURRENT,RESTRICTED,200000,70,MANAGEMENT ESTIMATE,2025-01-01,2026-12-31,,,SYNTHETIC demonstration data,,,,SYNTHETIC,Demonstration grant attached to P2
G-SYN-2,Senior services grant,SYNTHETIC Funder B,Government,P3,Seniors,CURRENT,RESTRICTED,200000,70,MANAGEMENT ESTIMATE,2025-07-01,2026-11-30,,,SYNTHETIC demonstration data,,,,SYNTHETIC,The prompt section-22 worked example grant
G-SYN-3,Family services grant,SYNTHETIC Funder C,Government,P7,Human Services,RENEWAL,RESTRICTED,260000,65,MANAGEMENT ESTIMATE,2024-10-01,2026-10-31,2026-10-15,,SYNTHETIC demonstration data,,,,SYNTHETIC,Expiring inside 0-3 month window
G-SYN-4,Early childhood quality grant,SYNTHETIC Funder D,Foundation,P1,Education,CURRENT,RESTRICTED,120000,80,MANAGEMENT ESTIMATE,2025-09-01,2027-08-31,,,SYNTHETIC demonstration data,,,,SYNTHETIC,
G-SYN-5,Cultural arts grant,SYNTHETIC Funder E,Foundation,P5,Culture,CURRENT,RESTRICTED,80000,65,MANAGEMENT ESTIMATE,2025-03-01,2027-02-28,,,SYNTHETIC demonstration data,,,,SYNTHETIC,
G-PROS-1,CA State Nonprofit Security Grant Program,Cal OES,Government,,Security,RESEARCH,RESTRICTED,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,RESEARCH REQUIRED - campus/facility security; track future Cal OES cycle
G-PROS-2,Community Action Grants and other programs,Silicon Valley Community Foundation,Foundation,,Community,RESEARCH,,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,"RESEARCH REQUIRED - eligibility, cycle, amounts"
G-PROS-3,Capacity Building Grants,Jewish LearningWorks,Foundation,,Education,RESEARCH,,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,"RESEARCH REQUIRED - Jewish education, youth, preschool, educator development"
G-PROS-4,Jewish community institutions / K-12 / Bay Area,Koret Foundation,Foundation,,Community,RESEARCH,,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,RESEARCH REQUIRED
G-PROS-5,Jewish youth / learning / leadership,Jim Joseph Foundation,Foundation,,Youth,RESEARCH,,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,RESEARCH REQUIRED
G-PROS-6,Bay Area Jewish life / safety / human services,Jewish Community Federation and Endowment Fund,Foundation,,Community,RESEARCH,,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,RESEARCH REQUIRED
G-PROS-7,Local government programs,Santa Clara County / San Jose / Los Gatos,Government,,Human Services,RESEARCH,,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,RESEARCH REQUIRED
G-PROS-8,Corporate and family foundations,Bay Area technology / health / family foundations,Corporate,,Community,RESEARCH,,,,,,,,,Owner-provided build prompt 2026-09-05,RESEARCH REQUIRED,,,PUBLIC_RESEARCH,RESEARCH REQUIRED
