row_id,kpi_id,kpi,description,formula_990,fy2025_value,unit,benchmark_or_policy,target_class,vs_target,trend_fy2021_fy2025,typical_audience,value_class
R001,KPI-1,Program Expense Ratio,"Share of total spending that goes directly into community programming versus admin and fundraising. Watchdogs (BBB) set a 65% floor; the community-center median is ~74.2%. Centers carry higher facility costs, and above ~90% can signal underinvestment in infrastructure or safety.",Part IX line 25 col B / col A,81.9894,%,BENCHMARK: BBB >= 65% on programs; community-center median ~74.2%; above ~90% can signal underinvestment in infrastructure,PUBLIC_RESEARCH,MEETS,76.88 > 76.25 > 83.34 > 83.98 > 81.99,BOARD (policy + funders),PUBLIC_RESEARCH
R002,KPI-2,Operating Reserve (months),"How long the organization could sustain itself on unrestricted net assets if revenue stopped. Sector goal is 3-6 months; target 6+ when slow-paying reimbursement grants dominate. JSV's line 27 includes fixed assets, so the spendable figure is lower than shown.",Part X line 27 / (Part I line 18 / 12),5.1061,months,SECTOR: 3-6 months reserves; target 6+ when slow-paying reimbursement grants dominate,PUBLIC_RESEARCH,MEETS,6.65 > 7.45 > 6.97 > 6.78 > 5.11,BOARD (policy),PUBLIC_RESEARCH
R003,KPI-3,Months of Cash on Hand,"Pure cash liquidity: Part X cash + savings against a month of spending, excluding the investment portfolio. Internal policy floor is 3.0 months. FY2025 sits far below it because liquidity moved into investments - the board conversation is how fast portfolio assets can become cash.",(Part X line 1 + line 2) / (Part I line 18 / 12),0.4565,months,INTERNAL POLICY: >= 3.0 months operating cash (sector norm 3-6),MANAGEMENT ASSUMPTION,MISSES,5.57 > 6.10 > 3.59 > 3.09 > 0.46,CEO weekly + BOARD (policy),PUBLIC_RESEARCH
R004,KPI-4,Revenue Concentration,"Largest single revenue stream as a share of total revenue - funding-diversity risk. Sector guidance keeps any stream under 30-40%. JSV runs above that, but the top stream is earned program fees from many families, a very different risk than dependence on one grant or donor.",largest single revenue stream / Part I line 12,59.8671,%,SECTOR: keep any single revenue stream under 30-40% of total,PUBLIC_RESEARCH,MISSES,57.69 > 55.42 > 66.00 > 61.49 > 59.87,BOARD (risk),PUBLIC_RESEARCH
R005,KPI-5,Personnel Expense Ratio,"Salaries, wages and benefits as a share of total expenses. Staff-delivered centers (front desk, instructors, camps) typically run 45-60%; below 45% can mean understaffing, above 60% squeezes program delivery.",Part I line 15 / line 18,58.0804,%,SECTOR: personnel typically 45-60% of expenses (upper bound drawn),PUBLIC_RESEARCH,MEETS,63.65 > 56.69 > 55.04 > 55.74 > 58.08,CEO (operations),PUBLIC_RESEARCH
R006,KPI-6,Fundraising Efficiency,Cents spent on fundraising per contribution dollar raised. BBB ceiling is 35 cents; a typical healthy range is 15-20. JSV raises money cheaply - single digits most years.,Part I line 16b / line 8 x 100,12.6905,cents,BENCHMARK: BBB <= 35 cents per contribution $ (sector typical 15-20 cents),PUBLIC_RESEARCH,MEETS,11.44 > 4.53 > 15.57 > 9.52 > 12.69,BOARD (fundraising committee),PUBLIC_RESEARCH
R007,KPI-7,Operating Margin,What is left of revenue after the year's expenses. No published sector standard; the internal policy floor is breakeven. The FY2023 deficit year and the FY2025 recovery are both visible here.,(Part I line 12 - line 18) / line 12,4.7075,%,INTERNAL POLICY: breakeven or better,MANAGEMENT ASSUMPTION,MEETS,-3.18 > 28.13 > -10.79 > 0.55 > 4.71,BOARD + CEO,PUBLIC_RESEARCH
R008,KPI-8,Current Ratio,"Short-term assets against short-term bills (990 proxy: cash, savings, receivables and prepaid vs payables, grants payable and deferred revenue). Healthy band is 1.0-2.0. FY2025 dips below 1.0 - the balance-sheet echo of the cash story, softened by the investment portfolio sitting outside the short-term lines.",Part X (lines 1+2+3+4+9) / (lines 17+18+19),0.7109,x,SECTOR: current ratio 1.0-2.0 (near-term bills covered),PUBLIC_RESEARCH,MISSES,2.43 > 4.22 > 2.32 > 1.88 > 0.71,CEO (monthly close),PUBLIC_RESEARCH
R009,KPI-9,Days Cash on Hand,"How many days of spending the unrestricted cash could cover if revenue stopped - the day-count twin of months of cash. Sector guidance is ~90 days (3 months). FY2025 is a fraction of that, so the working question is how quickly portfolio assets can convert to cash.",(Part X line 1 + line 2) / (Part I line 18 / 365),13.8861,days,SECTOR: ~3 months of cash (90 days),PUBLIC_RESEARCH,MISSES,169.40 > 185.50 > 109.33 > 93.84 > 13.89,CEO (weekly cash review),PUBLIC_RESEARCH
R010,KPI-10,Administrative Expense Ratio,"Management & general costs as a share of total expenses - overhead excluding fundraising. The board rule here is under 20%; small or growing organizations legitimately run higher while building infrastructure, so read the trend, not one year.",Part IX line 25 col C / col A,13.2613,%,OWNER RULE: management & general < 20% of total expenses,PUBLIC_RESEARCH,MEETS,18.97 > 20.26 > 12.38 > 12.80 > 13.26,BOARD (policy + funders),PUBLIC_RESEARCH
R011,KPI-11,IRS Public Support %,"The Schedule A public support test as filed: at least one third of support must come from the general public and government over a rolling five years, with any single donor capped at 2% of the base. Falling under 33 1/3% triggers the 10% facts-and-circumstances fallback; sustained failure risks private-foundation reclassification.",Schedule A Part II line 14 (as filed),74.89,%,IRS RULE: >= 33 1/3% public support (Schedule A test),PUBLIC_RESEARCH,MEETS,74.16 > 74.24 > 76.50 > 73.57 > 74.89,"BOARD (compliance, annual)",PUBLIC_RESEARCH
R012,KPI-12,Expense Coverage,Revenue divided by expenses - the simplest solvency read. 1.0x means the year paid for itself; below 1.0x the year drew down reserves to operate.,Part I line 12 / line 18,1.0494,x,INTERNAL POLICY: revenue covers expenses (>= 1.0x),MANAGEMENT ASSUMPTION,MEETS,0.97 > 1.39 > 0.90 > 1.01 > 1.05,CEO (monthly close),PUBLIC_RESEARCH
